Date,Flow ID,Flow Name,Message ID,Message Name,Message Channel,Status,Total Recipients,Total Delivered,Unique Opens,Unique Clicks,Unique Unsubscribes,Bounces,Total Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Click Rate,Total Unsubscribes,Spam Complaints,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Tags,Message Status,Region,Persona
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,VjHfBb,DE_Trigger_Marketing_Abandon_Browse_Touch1_6Recs,Email,Live,"1,100","1,100",610,57,0,0,"1,047",707,435,55.46%,102,5.18%,0,0,0.00%,0.00%,0.00%,2,1.00,2,1,915.97,457.98,0.18%,0.83,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,TwM3DS,DE_Trigger_Marketing_Abandon_Browse_Touch2,Email,Live,"48,857","48,679","12,453","2,640",24,178,"46,376","30,799","8,972",25.58%,"4,823",5.42%,24,2,0.05%,0.36%,0.00%,102,1.03,99,1,"30,833.43",302.29,0.20%,0.63,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,UZPWF4,DE_AbandonBrowse_HolidayEvent,XD9DFP,DE_Trigger_Marketing_Abandon_Browse_Touch1-HolidayEvent,Email,Draft,"4,411","4,409","2,380",349,3,2,"4,325","2,801","1,676",53.98%,536,7.92%,3,0,0.07%,0.05%,0.00%,14,1.00,14,1,"3,971.14",283.65,0.32%,0.90,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,UZPWF4,DE_AbandonBrowse_HolidayEvent,YAFHG2,DE_Trigger_Marketing_Abandon_Browse_Touch1-Sale-HolidayEvent,Email,Draft,"3,633","3,630","2,189",510,0,3,"3,888","2,348","1,469",60.30%,819,14.05%,0,0,0.00%,0.08%,0.00%,31,1.00,31,1,"8,163.79",263.35,0.85%,2.25,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,UZPWF4,DE_AbandonBrowse_HolidayEvent,VwcJML,DE_Trigger_Marketing_Abandon_Browse_Touch2-HolidayEvent,Email,Draft,"7,036","7,027","3,700",586,3,9,"6,882","4,406","2,574",52.65%,834,8.34%,3,0,0.04%,0.13%,0.00%,29,1.04,28,1,"7,187.35",247.84,0.40%,1.02,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,Xa6MUV,DE_Trigger_Marketing_Abandon_Cart_Touch1,Email,Live,"2,780","2,771","1,646",345,6,9,"3,095","1,917","1,121",59.40%,535,12.45%,6,0,0.22%,0.32%,0.00%,60,1.03,58,1,"21,905.58",365.09,2.09%,7.91,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,SpQc27,DE_Trigger_Marketing_Abandon_Cart_Touch1-Sale,Email,Live,"5,438","5,414","2,604",757,6,24,"5,523","3,512","1,788",48.10%,"1,288",13.98%,6,0,0.11%,0.44%,0.00%,146,1.02,143,1,"46,984.75",321.81,2.64%,8.68,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,UvzVbE,DE_Trigger_Marketing_Abandon_Cart_Touch1-Sale_BSMV,Email,Live,1,1,1,0,0,0,1,1,1,100.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,T6hjfC,DE_Trigger_Marketing_Abandon_Cart_Touch1_BSMV,Email,Live,292,292,157,32,0,0,311,217,110,53.77%,61,10.96%,0,0,0.00%,0.00%,0.00%,8,1.00,8,1,"4,021.17",502.65,2.74%,13.77,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,SfJZRh,DE_Trigger_Marketing_Abandon_Cart_Touch1_YMAL,Email,Live,526,525,354,58,0,1,592,364,256,67.43%,79,11.05%,0,0,0.00%,0.19%,0.00%,8,1.00,8,1,"3,108.86",388.61,1.52%,5.92,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,TRJnve,DE_Trigger_Marketing_Abandon_Cart_Touch1_YMAL,Email,Live,298,298,151,31,0,0,372,239,103,50.67%,60,10.40%,0,0,0.00%,0.00%,0.00%,2,1.00,2,1,"1,018.94",509.47,0.67%,3.42,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,WBGZDG,DE_AbandonCart,YjvCNM,DE_Trigger_Marketing_Abandon_Cart_Touch2,Email,Live,"8,708","8,678","3,680",645,8,30,"8,001","5,397","2,652",42.41%,"1,152",7.43%,8,1,0.09%,0.35%,0.01%,61,1.03,59,1,"22,447.33",367.99,0.68%,2.59,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ta9Pr3,DE_AbandonCart_HolidayEvent,SMBMSW,DE_Trigger_Marketing_Abandon_Cart_Touch1-HolidayEvent,Email,Draft,"1,166","1,166",757,165,0,0,"1,300",807,519,64.92%,275,14.15%,0,0,0.00%,0.00%,0.00%,27,1.00,27,1,"10,106.06",374.30,2.32%,8.67,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ta9Pr3,DE_AbandonCart_HolidayEvent,XUqrjR,DE_Trigger_Marketing_Abandon_Cart_Touch1-Sale-HolidayEvent,Email,Draft,"1,419","1,418",871,270,0,1,"1,576",972,597,61.43%,454,19.04%,0,0,0.00%,0.07%,0.00%,47,1.02,46,1,"12,610.84",268.32,3.24%,8.89,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ta9Pr3,DE_AbandonCart_HolidayEvent,XNmqSi,DE_Trigger_Marketing_Abandon_Cart_Touch2-HolidayEvent,Email,Draft,"2,235","2,233","1,243",210,0,2,"2,171","1,443",910,55.67%,330,9.40%,0,0,0.00%,0.09%,0.00%,18,1.00,18,1,"5,358.25",297.68,0.81%,2.40,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,TiVzP4,DE_LowInventory,UifpWj,DE_Trigger_Marketing_LowInventory,Email,Live,"5,121","5,095","2,394",624,6,26,"4,899","3,109","1,587",46.99%,974,12.25%,6,1,0.12%,0.51%,0.02%,44,1.07,41,1,"10,642.04",241.86,0.80%,2.09,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,WA9MJQ,DE_Trigger_Marketing_Onboarding_J1,Email,Live,"5,269","5,111","3,665",867,23,158,"7,011","3,544","2,278",71.71%,"1,387",16.96%,23,3,0.45%,3.00%,0.06%,190,1.03,185,1,"72,888.11",383.62,3.62%,14.26,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,TB6fq3,DE_Trigger_Marketing_Onboarding_J1_Control,Email,Live,502,482,361,93,3,20,731,349,217,74.90%,150,19.30%,3,0,0.62%,3.98%,0.00%,22,1.00,22,1,"10,707.99",486.73,4.56%,22.22,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,YmkRiR,DE_Trigger_Marketing_Onboarding_J2,Email,Live,"4,821","4,780","2,734",360,24,41,"4,154","2,574","1,817",57.20%,564,7.53%,24,0,0.50%,0.85%,0.00%,9,1.00,9,1,"4,350.80",483.42,0.19%,0.91,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,WuhHsY,DE_Trigger_Marketing_Onboarding_J3_Control,Email,Live,"3,932","3,908","2,079",274,9,24,"3,092","1,979","1,431",53.20%,389,7.01%,9,1,0.23%,0.61%,0.03%,6,1.00,6,1,"1,918.74",319.79,0.15%,0.49,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,VfEdiY,DE_Trigger_Marketing_Onboarding_J3_Test,Email,Live,395,392,238,32,1,3,345,218,156,60.71%,41,8.16%,1,1,0.26%,0.76%,0.26%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Ue7i2E,DE_Onboarding,Yc6kC5,DE_Trigger_Marketing_Onboarding_J4,Email,Live,"3,603","3,579","1,725",171,5,24,"2,635","1,780","1,265",48.20%,230,4.78%,5,0,0.14%,0.67%,0.00%,3,1.00,3,1,"2,593.13",864.38,0.08%,0.72,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,Uh9gYj,DE_PostPurchase_FirstPurchase,XRZ3Zh,DE_Trigger_Marketing_PostPurchase_FirstPurchase_D0,Email,Live,"2,179","2,166","1,736",179,5,13,"3,237","1,616","1,045",80.15%,284,8.26%,5,0,0.23%,0.60%,0.00%,8,1.33,6,1,"3,723.49",465.44,0.28%,1.72,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,V8S3ZX,DE_WinBack_2,Rtp2DB,DE_Trigger_Marketing_WinBack_Touch1,Email,Draft,36,36,18,1,0,0,29,19,15,50.00%,1,2.78%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,V8S3ZX,DE_WinBack_2,VAgPSn,DE_Trigger_Marketing_WinBack_Touch2,Email,Draft,20,20,12,1,0,0,16,13,10,60.00%,1,5.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,V8S3ZX,DE_WinBack_2,UKYgqs,DE_Trigger_Marketing_WinBack_Touch3,Email,Draft,19,19,9,0,0,0,12,8,6,47.37%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",draft,DE,#N/A
Sep 20 2025 - Mar 20 2026,YnxcHZ,Tory_Burch_Confirmed_Shipment,Utaqjt,DE_Trigger_Transactional_ShipConfirmation,Email,Live,"9,141","9,112","6,085","2,146",3,29,"16,281","8,179","3,992",66.78%,"4,323",23.55%,3,1,0.03%,0.32%,0.01%,94,1.24,76,1,"27,891.04",296.71,0.83%,3.06,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,TYG8jh,Tory_Burch_OrderCancellation,RWntLC,DE_Trigger_Transactional_OrderCancellation,Email,Live,65,65,57,1,0,0,114,57,33,87.69%,2,1.54%,0,0,0.00%,0.00%,0.00%,1,1.00,1,1,258.33,258.33,1.54%,3.97,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,TtX6eb,Tory_Burch_Order_Confirmation_Placed_Order,RbKEDk,DE_Trigger_Transactional_OrderConfirmation_PlacedOrder,Email,Live,"9,028","8,986","6,183","1,677",3,42,"18,050","8,884","4,076",68.81%,"3,150",18.66%,3,0,0.03%,0.47%,0.00%,59,1.04,57,1,"15,585.84",264.17,0.63%,1.73,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,UVasee,Tory_Burch_PayBylink,YwBthy,DE_Trigger_Transactional_PayByLink,Email,Live,6,6,2,1,0,0,18,2,2,33.33%,3,16.67%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,SaeYGN,Tory_Burch_PaybyLink_Order_Confirmation,Y8wFGm,DE_Trigger_Transactional_OrderConfirmation,Email,Live,58,56,48,13,0,2,147,49,30,85.71%,30,23.21%,0,0,0.00%,3.45%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,RNTtfr,Tory_Burch_Refunded_Order,Y34Vha,DE_Trigger_Transactional_RefundDetails,Email,Live,"3,482","3,471","2,261",32,1,11,"5,023","2,823","1,494",65.14%,40,0.92%,1,0,0.03%,0.32%,0.00%,3,1.00,3,1,577.29,192.43,0.09%,0.17,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,U2entr,Tory_Burch_Reset_Password,VyLuVJ,DE_Trigger_Transactional_PasswordReset,Email,Live,570,567,355,323,1,3,743,347,188,62.61%,477,56.97%,1,0,0.18%,0.53%,0.00%,123,1.10,112,1,"38,955.08",316.71,19.75%,68.70,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,XLea9c,Tory_Burch_Returned_Order,Y9mrHD,DE_Trigger_Transactional_ReturnOrderConfirmation,Email,Live,344,343,272,121,0,1,655,322,184,79.30%,201,35.28%,0,0,0.00%,0.29%,0.00%,6,1.00,6,1,"1,621.84",270.31,1.75%,4.73,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,WKB5VK,Tory_Burch_SettlementFailure,ShQvfY,DE_Trigger_Transactional_SettlementFailure,Email,Live,3,3,3,0,0,0,4,2,2,100.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"EU, Transactional",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,YsVeFL,EU_Trigger_Marketing_Abandon_Browse_Touch1,Email,Live,"20,475","20,372","7,945","1,423",19,103,"19,146","11,456","5,303",39.00%,"3,151",6.99%,19,4,0.09%,0.50%,0.02%,51,1.02,50,1,"14,233.03",279.08,0.25%,0.70,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,UEcGM9,EU_Trigger_Marketing_Abandon_Browse_Touch1-Sale,Email,Live,"26,654","26,438","9,090","2,333",15,216,"23,537","14,276","6,075",34.38%,"4,333",8.82%,15,9,0.06%,0.81%,0.03%,80,1.03,78,1,"19,964.66",249.56,0.30%,0.76,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,Yjze7w,EU_Trigger_Marketing_Abandon_Browse_Touch1-Sale_3Recs,Email,Live,3,3,3,1,0,0,5,2,2,100.00%,1,33.33%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,Xu8kD8,EU_Trigger_Marketing_Abandon_Browse_Touch1-Sale_3Recs,Email,Live,1,1,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,Rtydpm,EU_Trigger_Marketing_Abandon_Browse_Touch1-Sale_6Recs,Email,Live,2,2,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,UrEmTp,EU_Trigger_Marketing_Abandon_Browse_Touch1_3Recs,Email,Live,"1,854","1,850","1,175",112,1,4,"1,788","1,080",804,63.51%,144,6.05%,1,0,0.05%,0.22%,0.00%,5,1.00,5,1,"1,387.18",277.44,0.27%,0.75,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,XPMG3a,EU_Trigger_Marketing_Abandon_Browse_Touch1_3Recs,Email,Live,"5,941","5,939","2,049",375,3,2,"6,620","3,807","1,396",34.50%,654,6.31%,3,0,0.05%,0.03%,0.00%,7,1.00,7,1,"2,740.63",391.52,0.12%,0.46,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,TD7nuh,EU_Trigger_Marketing_Abandon_Browse_Touch1_6Recs,Email,Live,"5,983","5,977","2,086",412,0,6,"6,861","3,654","1,417",34.90%,714,6.89%,0,0,0.00%,0.10%,0.00%,5,1.00,5,1,"1,388.14",277.63,0.08%,0.23,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TTgzCa,EU_AbandonBrowse,Sz9trC,EU_Trigger_Marketing_Abandon_Browse_Touch2,Email,Live,"59,089","58,730","14,917","3,224",47,359,"55,467","32,993","10,217",25.40%,"6,333",5.49%,47,8,0.08%,0.61%,0.01%,112,1.07,105,1,"32,367.41",288.99,0.18%,0.55,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,Syn2pr,EU_AbandonBrowse_HolidayEvent,VbFHqc,EU_Trigger_Marketing_Abandon_Browse_Touch1-HolidayEvent,Email,Draft,"4,589","4,585","2,504",415,2,4,"4,567","2,639","1,621",54.61%,645,9.05%,2,1,0.04%,0.09%,0.02%,19,1.12,17,1,"4,636.49",244.03,0.37%,1.01,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,Syn2pr,EU_AbandonBrowse_HolidayEvent,W9dMqp,EU_Trigger_Marketing_Abandon_Browse_Touch1-Sale-HolidayEvent,Email,Draft,"3,996","3,994","2,333",583,2,2,"4,318","2,355","1,487",58.41%,"1,038",14.60%,2,0,0.05%,0.05%,0.00%,42,1.08,39,1,"9,918.45",236.15,0.98%,2.48,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,Syn2pr,EU_AbandonBrowse_HolidayEvent,W2zwUu,EU_Trigger_Marketing_Abandon_Browse_Touch2-HolidayEvent,Email,Draft,"7,509","7,507","3,878",649,4,2,"7,401","4,345","2,526",51.66%,"1,002",8.65%,4,2,0.05%,0.03%,0.03%,33,1.00,33,1,"8,759.04",265.43,0.44%,1.17,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,WyXzM4,EU_Trigger_Marketing_Abandon_Cart_Touch1,Email,Live,"3,077","3,057","1,759",354,5,20,"3,155","1,757","1,118",57.54%,547,11.58%,5,0,0.16%,0.65%,0.00%,47,1.04,45,1,"16,333.50",347.52,1.47%,5.34,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,VJ5LgL,EU_Trigger_Marketing_Abandon_Cart_Touch1-Sale,Email,Live,"5,950","5,913","2,823",807,3,37,"5,879","3,403","1,833",47.74%,"1,507",13.65%,3,3,0.05%,0.62%,0.05%,104,1.08,96,1,"28,505.28",274.09,1.62%,4.82,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,SwQ2QC,EU_Trigger_Marketing_Abandon_Cart_Touch1-Sale_BSMV,Email,Live,4,4,1,1,0,0,5,0,0,25.00%,2,25.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,W5htG6,EU_Trigger_Marketing_Abandon_Cart_Touch1_BSMV,Email,Live,447,445,287,51,2,2,519,304,195,64.49%,78,11.46%,2,0,0.45%,0.45%,0.00%,4,1.00,4,1,"1,553.50",388.37,0.90%,3.49,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,YheWWw,EU_Trigger_Marketing_Abandon_Cart_Touch1_BSMV,Email,Live,291,289,145,31,0,2,419,210,97,50.17%,61,10.73%,0,0,0.00%,0.69%,0.00%,3,1.00,3,1,"2,053.39",684.46,1.04%,7.11,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,Xw9THP,EU_Trigger_Marketing_Abandon_Cart_Touch1_YMAL,Email,Live,270,270,141,37,0,0,360,176,93,52.22%,66,13.70%,0,0,0.00%,0.00%,0.00%,4,1.33,3,1,796.27,199.07,1.11%,2.95,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,TJtMUn,EU_AbandonCart,RLMpH7,EU_Trigger_Marketing_Abandon_Cart_Touch2,Email,Live,"9,499","9,438","4,024",858,6,61,"9,117","5,259","2,661",42.64%,"1,496",9.09%,6,0,0.06%,0.64%,0.00%,62,1.05,59,1,"20,090.45",324.04,0.63%,2.13,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,WZuBwx,EU_AbandonCart_HolidayEvent,TkAQcx,EU_Trigger_Marketing_Abandon_Cart_Touch1-HolidayEvent,Email,Draft,"1,128","1,124",676,153,2,4,"1,181",607,431,60.14%,235,13.61%,2,0,0.18%,0.36%,0.00%,20,1.00,20,1,"5,454.15",272.71,1.78%,4.85,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,WZuBwx,EU_AbandonCart_HolidayEvent,WntyTU,EU_Trigger_Marketing_Abandon_Cart_Touch1-Sale-HolidayEvent,Email,Draft,"1,391","1,389",876,241,1,2,"1,576",815,545,63.07%,512,17.35%,1,0,0.07%,0.14%,0.00%,42,1.00,42,1,"9,819.08",233.79,3.02%,7.07,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,WZuBwx,EU_AbandonCart_HolidayEvent,XJjqzg,EU_Trigger_Marketing_Abandon_Cart_Touch2-HolidayEvent,Email,Draft,"2,116","2,110","1,232",261,2,6,"2,059","1,167",780,58.39%,484,12.37%,2,0,0.10%,0.28%,0.00%,27,1.04,26,1,"6,887.22",255.08,1.23%,3.26,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,XQBaQU,EU_LowInventory,YtRHst,EU_Trigger_Marketing_LowInventory,Email,Live,"6,169","6,133","2,680",567,8,36,"5,477","3,288","1,766",43.70%,917,9.25%,8,0,0.13%,0.58%,0.00%,25,1.00,25,1,"11,613.38",464.54,0.41%,1.89,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,XpBW2f,EU_Trigger_Marketing_Onboarding_J1,Email,Live,"9,671","9,391","6,204","1,288",55,280,"10,899","5,239","3,697",66.06%,"2,255",13.72%,55,11,0.59%,2.90%,0.12%,184,1.02,180,1,"65,548.95",356.24,1.92%,6.98,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,RdJCV4,EU_Trigger_Marketing_Onboarding_J1_Viewed,Email,Live,612,594,412,91,4,18,861,360,247,69.36%,153,15.32%,4,1,0.67%,2.94%,0.17%,8,1.00,8,1,"3,451.03",431.38,1.35%,5.81,"Marketing, EU",deleted,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,W9zQLZ,EU_Trigger_Marketing_Onboarding_J2,Email,Live,"9,171","9,099","4,871",599,47,72,"7,018","4,195","3,177",53.53%,866,6.58%,47,2,0.52%,0.79%,0.02%,12,1.00,12,1,"3,867.42",322.29,0.13%,0.43,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,UgwGV8,EU_Trigger_Marketing_Onboarding_J3_Control,Email,Live,"7,768","7,727","4,040",474,27,41,"5,871","3,516","2,659",52.28%,708,6.13%,27,7,0.35%,0.53%,0.09%,5,1.00,5,1,"1,155.86",231.17,0.06%,0.15,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,YzUHaU,EU_Trigger_Marketing_Onboarding_J3_Test,Email,Live,760,749,378,44,3,11,542,345,261,50.47%,58,5.87%,3,0,0.40%,1.45%,0.00%,2,1.00,2,1,592.69,296.35,0.27%,0.79,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S2khuN,EU_Onboarding,VrVxNY,EU_Trigger_Marketing_Onboarding_J4,Email,Live,"7,581","7,530","3,518",262,20,51,"5,049","3,273","2,480",46.72%,372,3.48%,20,3,0.27%,0.67%,0.04%,3,1.00,3,1,"1,062.64",354.21,0.04%,0.14,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,RwRNZy,EU_PostPurchase_FirstPurchase,TjhGw3,EU_Trigger_Marketing_PostPurchase_FirstPurchase_D0,Email,Live,"2,374","2,361","1,941",184,4,13,"3,460","1,604","1,107",82.21%,276,7.79%,4,1,0.17%,0.55%,0.04%,5,1.00,5,1,"1,439.77",287.95,0.21%,0.61,"Marketing, EU",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,S5jzix,EU_WinBack_2,Wcz8AJ,EU_Trigger_Marketing_WinBack_Touch1,Email,Draft,41,41,25,2,0,0,54,41,22,60.98%,4,4.88%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,S5jzix,EU_WinBack_2,RM544q,EU_Trigger_Marketing_WinBack_Touch2,Email,Draft,18,18,9,1,0,0,20,18,9,50.00%,1,5.56%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,S5jzix,EU_WinBack_2,VUTRnX,EU_Trigger_Marketing_WinBack_Touch3,Email,Draft,12,12,6,1,0,0,12,10,5,50.00%,1,8.33%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU",draft,EU,#N/A
Sep 20 2025 - Mar 20 2026,YnxcHZ,Tory_Burch_Confirmed_Shipment,VfrXCS,EU_Trigger_Transactional_ShipConfirmation,Email,Live,"6,549","6,531","4,518","1,430",2,18,"11,678","5,127","2,801",69.18%,"2,961",21.90%,2,0,0.03%,0.28%,0.00%,39,1.11,35,1,"10,788.45",276.63,0.54%,1.65,"EU, Transactional",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TYG8jh,Tory_Burch_OrderCancellation,S7CYtq,EU_Trigger_Transactional_OrderCancellation,Email,Live,56,56,50,2,0,0,89,47,28,89.29%,3,3.57%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"EU, Transactional",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,TtX6eb,Tory_Burch_Order_Confirmation_Placed_Order,Swr2dY,EU_Trigger_Transactional_OrderConfirmation_PlacedOrder,Email,Live,"6,486","6,462","4,772","1,383",1,24,"13,509","5,560","2,889",73.85%,"3,193",21.40%,1,0,0.02%,0.37%,0.00%,43,1.08,40,1,"11,461.03",266.54,0.62%,1.77,"EU, Transactional",live,EU,#N/A
Sep 20 2025 - Mar 20 2026,XgV87J,Tory_Burch_PayByLink_AuthorizeFailure,WuDyNj,EU_Trigger_Transactional_AuthorizationFailure,Email,Live,7,7,2,0,0,0,3,3,2,28.57%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"EU, Transactional",live,EU,#N/A
