Date,Group Id,List/Segment,Total Recipients,Total Delivered,Total Opens,Unique Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Unique Clicks,Click Rate,Total Unsubscribes,Unique Unsubscribes,Spam Complaints,Bounces,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Campaign Message Channel,Region,Persona,Persona Confidence
Dec 20 2025 - Mar 20 2026,WMmwUw,US_Mainline_HeelsAffinity,"1,484,037","1,479,801","944,785","696,231","794,065","597,808",47.05%,"16,466","12,353",0.84%,452,452,154,"4,236",0.03%,0.29%,0.01%,392,1.14,345,1,"130,773.40",333.61,0.02%,0.09,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,WR7wpj,JP_NihombashiMitsukoshi_EC_031526,"25,174","25,151","11,524","9,760","7,826","6,955",38.81%,667,510,2.03%,8,8,0,23,0.03%,0.09%,0.00%,3,1.00,3,1,"115,874.00","38,624.67",0.01%,4.61,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WR8kWk,DE_Trigger_Marketing_BounceBack_Feb2026_Test,"1,416","1,414","1,325",824,939,625,58.27%,218,155,10.96%,0,0,0,2,0.00%,0.14%,0.00%,7,1.00,7,1,"2,492.12",356.02,0.50%,1.76,Email,DE,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WSbhDh,JP_Mainline_Masterlist_020626Reminder,"243,559","239,663","144,376","115,048","114,127","94,219",48.00%,"9,875","7,141",2.98%,45,45,0,"3,896",0.02%,1.60%,0.00%,23,1.00,23,1,"675,937.00","29,388.57",0.01%,2.82,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WTSKXR,US_Leadership,8,8,46,7,31,7,87.50%,3,2,25.00%,0,0,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,US,Internal,
Dec 20 2025 - Mar 20 2026,WW8ra6,JP_HakataHankyu_EC_013126,"5,171","5,165","3,320","2,671","2,477","2,069",51.71%,119,88,1.70%,2,2,0,6,0.04%,0.12%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WYCqG7,US_Mainline_Outlet_Allen,"20,707","20,652","13,933","10,102","11,647","8,661",48.92%,154,118,0.57%,10,10,1,55,0.05%,0.27%,0.01%,2,1.00,2,1,339.00,169.50,0.01%,0.02,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,WZB9wg,JP_YearEnd_202512_ECJP,"157,596","157,308","98,693","78,284","77,512","63,860",49.77%,"3,458","2,369",1.51%,21,21,1,288,0.01%,0.18%,0.00%,57,1.10,52,1,"2,882,543.75","50,570.94",0.03%,18.32,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WZN3dz,IT_Trigger_Marketing_Birthday_Dec2025_Reminder,339,337,259,185,176,138,54.90%,17,15,4.45%,0,0,0,2,0.00%,0.59%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,IT,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WcSdvJ,202603016_SpringEventRFNAEA,"300,531","299,734","181,234","142,973","150,657","123,432",47.70%,"12,172","8,047",2.69%,38,38,5,797,0.01%,0.27%,0.00%,487,1.22,398,1,"209,474.60",430.13,0.13%,0.70,Email,Other,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WeXmZJ,UK_Mainline_SaleAffinity_New,"50,201","50,032","31,964","22,393","25,234","18,422",44.76%,"2,568","1,947",3.89%,15,15,3,169,0.03%,0.34%,0.01%,30,1.03,29,1,"5,203.70",173.46,0.06%,0.10,Email,UK,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Wg5jRM,HK_Mainline_Masterlist,"489,918","483,915","428,521","327,232","355,485","279,405",67.62%,"6,546","3,765",0.78%,474,474,19,"6,003",0.10%,1.23%,0.00%,26,1.24,21,1,"13,490.00",518.85,0.00%,0.03,Email,HK,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WirgKm,US_Trigger_Marketing_Birthday_RONA_Feb2026_Reminder,"7,480","7,457","5,168","3,705","4,390","3,237",49.69%,106,68,0.91%,3,3,0,23,0.04%,0.31%,0.00%,2,1.00,2,1,374.10,187.05,0.03%,0.05,Email,US,Jill,50%
Dec 20 2025 - Mar 20 2026,Wizzcx,JP_Mainline_Masterlist_12222025Reminder,"241,894","241,363","142,527","115,399","115,197","96,547",47.81%,"6,652","4,259",1.77%,60,60,0,531,0.03%,0.22%,0.00%,64,1.00,64,1,"1,368,133.00","21,377.08",0.03%,5.67,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Wm249a,EmailTeam_SeedList,"1,006","1,005",242,182,20,19,18.11%,54,18,1.79%,0,0,0,1,0.00%,0.10%,0.00%,2,1.00,2,1,433.60,216.80,0.20%,0.43,Email,Other,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WmyqWE,US_Mainline_Sport_RTWAffinity,"4,563,206","4,433,843","3,083,608","2,223,586","2,506,507","1,858,055",50.15%,"80,915","58,143",1.31%,"1,402","1,402",298,"129,363",0.03%,2.84%,0.01%,1228,1.10,"1,112",1,"582,409.73",474.28,0.03%,0.13,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,Wnq6zr,US_Mainline_SCP_15mi,"48,799","48,713","31,547","23,143","25,792","19,313",47.51%,327,250,0.51%,14,14,5,86,0.03%,0.18%,0.01%,3,1.00,3,1,707.20,235.73,0.01%,0.01,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,Wpujr9,JP_UmedaHankyuBag_EC_013126,"12,806","12,794","8,135","6,553","5,999","5,036",51.22%,305,247,1.93%,3,3,0,12,0.02%,0.09%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WqjxMh,JP_Mainline_Masterlist_022326Redeploy,"106,181","106,089","18,118","15,876","10,620","9,559",14.97%,"1,766","1,271",1.20%,106,106,0,92,0.10%,0.09%,0.00%,20,1.05,19,1,"712,287.00","35,614.35",0.02%,6.71,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WsnMjs,EU_Trigger_Marketing_Birthday_Feb2026_Reminder,480,480,409,250,309,202,52.08%,53,30,6.25%,0,0,0,0,0.00%,0.00%,0.00%,3,1.00,3,1,"1,425.07",475.02,0.63%,2.97,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,WznMSM,US_Trigger_Marketing_Birthday_February2026_Reminder,"92,361","92,039","71,687","47,793","58,284","40,997",51.93%,"4,700","3,178",3.45%,16,16,4,322,0.02%,0.35%,0.00%,250,1.03,242,1,"63,975.05",255.90,0.26%,0.70,Email,US,Birthday,
Dec 20 2025 - Mar 20 2026,X2gqaZ,JP_Anniversary_12m_Reminder_January2026,"2,318","2,315","1,676","1,346","1,301","1,067",58.14%,59,39,1.69%,0,0,0,3,0.00%,0.13%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,X4bnRQ,FR_Trigger_Marketing_Birthday_Jan2026_SelfReported,290,290,271,160,152,116,55.17%,20,14,4.83%,0,0,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,FR,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,X6WkAR,SG_SeedList,130,120,82,59,56,51,49.17%,2,2,1.67%,0,0,0,10,0.00%,7.69%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,SG,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,X6sTCN,FR_Mainline_Masterlist,"1,831,951","1,810,251","897,930","662,322","692,400","525,519",36.59%,"36,989","25,577",1.41%,901,901,136,"21,700",0.05%,1.19%,0.01%,214,1.02,210,1,"60,200.38",281.31,0.01%,0.03,Email,FR,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,X7aNdK,US_Mainline_SandalsAffinity,"1,258,681","1,253,941","675,998","497,763","569,982","430,078",39.70%,"16,050","12,424",0.99%,185,185,59,"4,740",0.02%,0.38%,0.01%,211,1.08,196,1,"78,391.77",371.52,0.02%,0.06,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,X8JZ8b,JP_Mainline_Masterlist_01112026Redeploy,"197,118","196,890","90,420","74,808","75,244","63,693",38.00%,"5,298","3,829",1.95%,24,24,0,228,0.01%,0.12%,0.00%,29,1.00,29,1,"754,545.00","26,018.79",0.01%,3.83,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XD6L3z,Theorem_JP_Tory_Sports,"12,427","12,411","9,724","7,627","6,768","5,663",61.45%,"1,315",822,6.62%,3,3,0,16,0.02%,0.13%,0.00%,4,1.00,4,1,"64,176.00","16,044.00",0.03%,5.17,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XDCCDV,JP_Anniversary_36m_Reminder_December2025,"1,288","1,287",907,746,736,621,57.96%,15,11,0.86%,0,0,0,1,0.00%,0.08%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XGTyfa,JP_Mainline_Masterlist_021526Redeploy,"107,894","107,823","20,658","17,999","12,103","10,822",16.69%,"2,512","1,754",1.63%,49,49,0,71,0.05%,0.07%,0.00%,16,1.00,16,1,"339,178.00","21,198.63",0.01%,3.15,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XJrTgn,MO_SeedList,140,130,95,72,63,60,55.39%,0,0,0.00%,0,0,0,10,0.00%,7.14%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,MO,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XLHcb3,SG_Mainline_Masterlist,"189,617","187,846","170,462","124,065","137,818","102,842",66.05%,"4,027","2,943",1.57%,216,216,45,"1,771",0.12%,0.93%,0.02%,24,1.20,20,1,"15,255.00",635.63,0.01%,0.08,Email,SG,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XRvTYW,CA_Mainline_Outlet,"47,570","44,526","25,308","18,478","20,669","15,408",41.50%,545,315,0.71%,10,10,2,"3,044",0.02%,6.40%,0.00%,3,1.50,2,1,761.00,253.67,0.00%,0.02,Email,CA,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XRxWZU,JP_Anniversary_36m_March2026,"1,701","1,700","1,236",983,943,795,57.82%,74,51,3.00%,2,2,0,1,0.12%,0.06%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XTaHUQ,JP_Birthday_Reminder_202601,"54,822","54,725","38,041","30,160","30,012","24,716",55.11%,978,660,1.21%,22,22,0,97,0.04%,0.18%,0.00%,9,1.00,9,1,"308,868.00","34,318.67",0.02%,5.64,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XU8BS4,EU_Trigger_Marketing_Birthday_Mar2026,523,521,461,295,317,228,56.62%,64,45,8.64%,1,1,0,2,0.19%,0.38%,0.00%,1,1.00,1,1,349.00,349.00,0.19%,0.67,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XYhXFm,JP_Anniversary_12m_Reminder_February2026,"2,105","2,103","1,389","1,124","1,083",895,53.45%,62,36,1.71%,0,0,0,2,0.00%,0.10%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XbMMTx,UK_Trigger_Marketing_BounceBack_Feb2026_Control_Reminder,"8,003","7,987","5,626","4,072","4,354","3,276",50.98%,411,299,3.74%,1,1,0,16,0.01%,0.20%,0.00%,9,1.00,9,1,"2,418.45",268.72,0.11%,0.30,Email,UK,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XgUtZx,US_Mainline_Merrick_15mi,"41,950","41,838","27,447","20,138","23,230","17,403",48.13%,300,252,0.60%,13,13,4,112,0.03%,0.27%,0.01%,6,1.00,6,1,"2,241.45",373.58,0.01%,0.05,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,Xgxd6f,US_Mainline_SanDiego_15mi,"30,598","30,507","19,261","14,606","16,450","12,733",47.88%,121,104,0.34%,5,5,1,91,0.02%,0.30%,0.00%,3,1.00,3,1,"1,227.00",409.00,0.01%,0.04,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,XkLBpX,JP_Anniversary_24m_Reminder_December2025,"2,852","2,848","1,962","1,600","1,596","1,340",56.18%,32,29,1.02%,0,0,0,4,0.00%,0.14%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Xpz7Pn,TW_SeedList,90,90,80,54,49,45,60.00%,3,2,2.22%,0,0,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,TW,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XsJqys,US_Trigger_Marketing_Birthday_RONA_Jan2026_SelfReported,"4,465","4,446","3,614","2,324","2,735","1,877",52.27%,209,110,2.47%,3,3,1,19,0.07%,0.43%,0.02%,2,1.00,2,1,"1,047.00",523.50,0.04%,0.24,Email,US,Jill,50%
Dec 20 2025 - Mar 20 2026,Xtg53D,US_Mainline_RetailAffinity,"219,618","218,725","155,828","111,995","135,926","99,590",51.20%,"2,318","1,561",0.71%,135,135,26,893,0.06%,0.41%,0.01%,29,1.21,24,1,"9,209.25",317.56,0.01%,0.04,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,XukZN4,FR_Trigger_Marketing_Birthday_Feb2026,294,293,252,159,157,109,54.27%,24,21,7.17%,0,0,0,1,0.00%,0.34%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,FR,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,XwVKJX,US_Mainline_HighAurHBGAffinity,"1,261,199","1,258,268","794,197","597,634","656,807","505,130",47.50%,"19,776","15,690",1.25%,299,299,62,"2,931",0.02%,0.23%,0.01%,298,1.08,275,1,"98,268.35",329.76,0.02%,0.08,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,XxHjrU,EU_Trigger_Marketing_Birthday_Dec2025_Reminder,485,485,396,272,280,210,56.08%,25,17,3.51%,0,0,0,0,0.00%,0.00%,0.00%,1,1.00,1,1,243.80,243.80,0.21%,0.50,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Y5KMsf,US_Mainline_Outlet_Woodbury,"36,306","36,217","23,195","16,869","19,645","14,587",46.58%,449,191,0.53%,8,8,2,89,0.02%,0.25%,0.01%,5,1.25,4,1,"1,140.80",228.16,0.01%,0.03,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,Y5skak,US_Mainline_MiniBagsAffinity,"506,296","504,872","295,372","223,763","249,384","193,455",44.32%,"7,049","5,315",1.05%,166,166,23,"1,424",0.03%,0.28%,0.01%,146,1.11,132,1,"40,527.68",277.59,0.03%,0.08,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,Y7CqMa,EU_Trigger_Marketing_Birthday_Jan2026_Reminder,521,519,508,313,333,236,60.31%,83,43,8.29%,1,1,0,2,0.19%,0.38%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,YARhpt,JP_Anniversary_24m_February2026,"1,870","1,868","1,607","1,177","1,135",904,63.01%,94,70,3.75%,1,1,0,2,0.05%,0.11%,0.00%,2,1.00,2,1,"74,670.00","37,335.00",0.11%,39.97,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Ybpukr,US_Mainline_SneakerAffinity,"782,694","733,366","498,269","360,308","409,828","303,331",49.13%,"17,818","13,085",1.78%,164,164,33,"49,328",0.02%,6.30%,0.00%,282,1.12,252,1,"88,215.27",312.82,0.03%,0.12,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,YkZBph,US_Trigger_Marketing_Birthday_Jan2026_Remaining,"26,613","26,540","27,256","16,998","21,427","14,612",64.05%,"1,866","1,265",4.77%,1,1,0,73,0.00%,0.27%,0.00%,64,1.07,60,1,"14,586.00",227.91,0.23%,0.55,Email,US,Birthday,
Dec 20 2025 - Mar 20 2026,Yp6LYv,DE_Mainline_SaleAffinity_New,"17,222","17,183","11,768","8,423","9,076","6,720",49.02%,"1,381","1,047",6.09%,3,3,0,39,0.02%,0.23%,0.00%,25,1.04,24,1,"5,963.69",238.55,0.14%,0.35,Email,DE,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,Ypqv3U,US_Mainline_NorthPark_15mi,"85,794","85,614","56,216","41,469","47,121","35,359",48.44%,717,531,0.62%,25,25,1,180,0.03%,0.21%,0.00%,11,1.22,9,1,"4,068.65",369.88,0.01%,0.05,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,YqaZiA,JP_Anniversary_12m_March2026,"2,529","2,525","1,706","1,404","1,288","1,105",55.60%,120,83,3.29%,0,0,0,4,0.00%,0.16%,0.00%,1,1.00,1,1,"245,490.00","245,490.00",0.04%,97.22,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,YrqyAD,JP_Bounceback_20260307_ECJP_Redeploy,"137,391","137,303","83,791","70,439","70,063","60,531",51.30%,"2,520","1,629",1.19%,23,23,0,88,0.02%,0.06%,0.00%,28,1.04,27,1,"1,296,299.00","46,296.39",0.02%,9.44,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,YsdWdW,JP_Mainline_Masterlist_010226Reminder,"244,101","243,564","147,755","118,171","118,801","98,360",48.52%,"11,238","8,090",3.32%,72,72,1,537,0.03%,0.22%,0.00%,62,1.03,60,1,"1,233,660.00","19,897.74",0.02%,5.07,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,YvRCGQ,US_Mainline_Employees,"12,087","12,021","11,616","7,852","1,864","1,632",65.32%,409,283,2.35%,0,0,0,66,0.00%,0.55%,0.00%,98,1.56,63,1,"23,144.87",236.17,0.52%,1.93,Email,US,Internal,
Dec 20 2025 - Mar 20 2026,YxYztv,US_Mainline_Outlet_Sawgrass,"27,352","27,275","16,155","11,696","13,149","9,689",42.88%,267,188,0.69%,8,8,1,77,0.03%,0.28%,0.00%,5,1.25,4,1,"1,142.40",228.48,0.01%,0.04,Email,US,Jill,25%
