Date,Group Id,List/Segment,Total Recipients,Total Delivered,Total Opens,Unique Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Unique Clicks,Click Rate,Total Unsubscribes,Unique Unsubscribes,Spam Complaints,Bounces,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Campaign Message Channel,Region,Persona,Persona Confidence
Dec 20 2025 - Mar 20 2026,W3Zjgm,US_Mainline_LVForum_30mi,"43,810","43,702","30,206","22,446","25,476","19,197",51.36%,396,324,0.74%,15,15,4,108,0.03%,0.25%,0.01%,4,1.33,3,1,664.00,166.00,0.01%,0.02,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,W3aZUz,JP_Anniversary_12m_Reminder_December2025,"2,597","2,590","1,841","1,480","1,475","1,231",57.14%,21,18,0.70%,1,1,0,7,0.04%,0.27%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,W4dqQ4,US_Mainline_Galleria_15mi,"31,579","31,493","17,364","13,309","13,925","10,863",42.26%,331,279,0.89%,6,6,1,86,0.02%,0.27%,0.00%,4,1.00,4,1,868.00,217.00,0.01%,0.03,Email,US,Jill,25%
Dec 20 2025 - Mar 20 2026,W4g65p,JP_Anniversary_36m_Reminder_January2026,317,316,241,191,182,157,60.44%,25,16,5.06%,0,0,0,1,0.00%,0.32%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,W4ppQA,JP_Bounceback_20260306_ECJP,"158,208","157,989","85,134","70,759","70,352","60,312",44.79%,"4,026","2,515",1.59%,25,25,0,219,0.02%,0.14%,0.00%,53,1.00,53,1,"2,342,594.00","44,199.89",0.03%,14.83,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,W7qbHG,US_Mainline_RTWAffinity,"386,169","373,587","223,666","158,481","183,388","133,543",42.42%,"7,770","5,434",1.46%,73,73,25,"12,582",0.02%,3.26%,0.01%,141,1.08,130,1,"58,409.60",414.25,0.03%,0.16,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,W9S5FS,EU_SeedList,"1,739","1,739","1,167",805,405,390,46.29%,88,43,2.47%,0,0,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,W9fdzF,DE_Trigger_Marketing_Birthday_Dec2025_Reminder,592,589,469,311,347,242,52.80%,47,29,4.92%,0,0,0,3,0.00%,0.51%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,DE,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,W9khFB,US_Mainline_HandbagAffinity,"2,192,173","2,185,056","1,311,914","976,841","1,115,519","848,177",44.71%,"24,849","19,216",0.88%,580,579,109,"7,117",0.03%,0.33%,0.01%,329,1.08,306,1,"110,335.45",335.37,0.01%,0.05,Email,US,Jill,20%
Dec 20 2025 - Mar 20 2026,WAhEFs,UK_Mainline_Masterlist,"11,461,829","11,273,008","6,153,138","4,482,554","5,083,538","3,795,078",39.76%,"142,783","89,368",0.79%,"5,641","5,641","1,071","188,821",0.05%,1.65%,0.01%,1024,1.05,975,1,"254,500.84",248.54,0.01%,0.02,Email,UK,#N/A,#N/A
